country_type,Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Extra,Romania,Liga 1,2012/2013,18/08/2012,17:00,Bistrita,Vaslui,0,3,A,4.72,3.54,1.88,5.37,3.54,1.88,4.63,3.37,1.69
Extra,Romania,Liga 1,2012/2013,18/08/2012,19:30,Petrolul,FC Rapid Bucuresti,0,0,D,2.25,3.42,3.38,2.25,3.51,3.5,2.13,3.16,3.19
Extra,Romania,Liga 1,2012/2013,19/08/2012,20:00,FC Steaua Bucuresti,Ceahlaul,3,0,H,1.23,6.39,15.99,1.3,6.49,15.99,1.23,5.42,10.53
Extra,Romania,Liga 1,2012/2013,20/08/2012,17:00,Viitorul Constanta,Gaz Metan Medias,0,1,A,2.64,3.21,2.93,2.64,3.25,3.25,2.36,3.08,2.84
Extra,Romania,Liga 1,2012/2013,20/08/2012,17:00,Pandurii,Otelul,3,2,H,1.91,3.6,4.38,1.91,3.7,5.18,1.76,3.37,4.36
Extra,Romania,Liga 1,2012/2013,20/08/2012,19:30,FC Brasov,Astra,1,2,A,2.06,3.43,3.92,2.2,3.43,3.92,2.06,3.18,3.34
Extra,Romania,Liga 1,2012/2013,24/08/2012,19:30,Gaz Metan Medias,CS Turnu Severin,2,0,H,1.96,3.38,4.45,2,3.6,5,1.82,3.3,4.17
Extra,Romania,Liga 1,2012/2013,25/08/2012,17:00,Astra,Concordia,6,3,H,1.94,3.29,4.73,1.96,3.45,4.73,1.85,3.25,4.01
Extra,Romania,Liga 1,2012/2013,25/08/2012,17:00,Otelul,Bistrita,1,1,D,1.41,4.38,10.8,1.45,4.49,10.8,1.4,4.09,7.43
Extra,Romania,Liga 1,2012/2013,25/08/2012,19:30,FC Rapid Bucuresti,CFR Cluj,3,2,H,1.96,3.45,4.34,2,3.5,4.34,1.91,3.25,3.68
Extra,Romania,Liga 1,2012/2013,26/08/2012,17:00,Poli Iasi,Pandurii,0,1,A,5.26,3.82,1.74,5.26,3.82,1.91,4.04,3.42,1.78
Extra,Romania,Liga 1,2012/2013,26/08/2012,19:30,Din. Bucuresti,Petrolul,2,1,H,2.29,3.29,3.43,2.4,3.32,3.6,2.16,3.17,3.14
Extra,Romania,Liga 1,2012/2013,27/08/2012,17:00,Ceahlaul,Viitorul Constanta,0,3,A,2.42,3.22,3.25,2.5,3.3,3.4,2.24,3.13,3.04
Extra,Romania,Liga 1,2012/2013,27/08/2012,17:00,U. Cluj,FC Brasov,1,1,D,2.72,3.25,2.82,2.73,3.37,2.9,2.45,3.14,2.7
Extra,Romania,Liga 1,2012/2013,27/08/2012,19:30,Vaslui,FC Steaua Bucuresti,3,1,H,2.66,3.2,2.91,2.72,3.3,3.1,2.49,3.08,2.71
Extra,Romania,Liga 1,2012/2013,31/08/2012,17:00,Bistrita,Poli Iasi,1,0,H,1.8,3.57,5.24,1.85,3.7,5.24,1.79,3.33,4.2
Extra,Romania,Liga 1,2012/2013,01/09/2012,17:00,FC Brasov,Gaz Metan Medias,3,1,H,1.85,3.35,5.13,2,3.5,5.13,1.84,3.22,4.1
Extra,Romania,Liga 1,2012/2013,01/09/2012,19:30,Pandurii,FC Rapid Bucuresti,2,0,H,2.29,3.32,3.38,2.4,3.32,3.38,2.28,3.15,2.92
Extra,Romania,Liga 1,2012/2013,02/09/2012,15:00,Astra,Din. Bucuresti,1,0,H,2.81,3.23,2.74,2.9,3.3,2.83,2.66,3.18,2.45
Extra,Romania,Liga 1,2012/2013,02/09/2012,16:55,FC Steaua Bucuresti,Otelul,2,1,H,1.42,4.37,10.21,1.55,4.37,10.21,1.45,3.88,6.92
Extra,Romania,Liga 1,2012/2013,02/09/2012,18:50,CFR Cluj,Petrolul,2,2,D,1.73,3.82,5.26,1.8,3.82,5.32,1.69,3.58,4.47
Extra,Romania,Liga 1,2012/2013,02/09/2012,19:45,Concordia,U. Cluj,0,2,A,2.04,3.44,3.98,2.1,3.5,3.98,2.03,3.27,3.37
Extra,Romania,Liga 1,2012/2013,02/09/2012,20:45,Viitorul Constanta,Vaslui,2,2,D,6.19,3.42,1.74,6.19,3.9,1.74,5.02,3.45,1.65
Extra,Romania,Liga 1,2012/2013,03/09/2012,17:00,CS Turnu Severin,Ceahlaul,1,1,D,2.1,3.39,3.85,2.25,3.4,3.85,2.1,3.21,3.24
Extra,Romania,Liga 1,2012/2013,14/09/2012,17:00,Ceahlaul,FC Brasov,2,1,H,2.86,3.1,2.79,2.92,3.25,2.95,2.52,3.06,2.69
Extra,Romania,Liga 1,2012/2013,14/09/2012,19:30,Din. Bucuresti,CFR Cluj,0,1,A,2.85,3.23,2.7,3,3.3,2.75,2.72,3.13,2.44
Extra,Romania,Liga 1,2012/2013,15/09/2012,17:00,Gaz Metan Medias,Concordia,1,3,A,1.69,3.92,5.48,1.83,3.92,5.5,1.71,3.53,4.41
Extra,Romania,Liga 1,2012/2013,15/09/2012,17:00,Otelul,Viitorul Constanta,1,1,D,1.66,3.62,6.63,1.7,3.9,7.5,1.57,3.67,5.44
Extra,Romania,Liga 1,2012/2013,15/09/2012,19:30,FC Rapid Bucuresti,Bistrita,3,1,H,1.37,4.75,10.97,1.37,5.2,11,1.32,4.51,8.82
Extra,Romania,Liga 1,2012/2013,16/09/2012,17:00,Petrolul,Pandurii,4,0,H,1.9,3.75,4.2,1.96,3.77,4.4,1.86,3.39,3.79
Extra,Romania,Liga 1,2012/2013,16/09/2012,19:30,Poli Iasi,FC Steaua Bucuresti,0,3,A,8.08,4.41,1.47,8.1,4.41,1.56,6.36,3.85,1.48
Extra,Romania,Liga 1,2012/2013,17/09/2012,15:00,U. Cluj,Astra,1,3,A,2.8,3.12,2.83,2.8,3.25,2.97,2.52,3.08,2.63
Extra,Romania,Liga 1,2012/2013,17/09/2012,19:30,Vaslui,CS Turnu Severin,2,1,H,1.24,6.5,14,1.3,6.5,14,1.22,5.42,10.88
Extra,Romania,Liga 1,2012/2013,21/09/2012,17:00,Concordia,Ceahlaul,2,1,H,1.95,3.62,4.13,2,3.62,4.13,1.93,3.33,3.56
Extra,Romania,Liga 1,2012/2013,21/09/2012,19:30,Bistrita,Petrolul,1,1,D,5.22,3.87,1.72,5.22,3.9,1.85,4.45,3.48,1.71
Extra,Romania,Liga 1,2012/2013,22/09/2012,17:00,CS Turnu Severin,Otelul,1,1,D,3.26,3.41,2.33,3.26,3.41,2.6,2.92,3.11,2.31
Extra,Romania,Liga 1,2012/2013,22/09/2012,19:30,U. Cluj,Din. Bucuresti,1,2,A,3.78,3.26,2.18,4.26,3.5,2.18,3.52,3.3,1.96
Extra,Romania,Liga 1,2012/2013,23/09/2012,17:00,Astra,Gaz Metan Medias,4,0,H,2.06,3.4,4.01,2.14,3.45,4.01,1.98,3.22,3.56
Extra,Romania,Liga 1,2012/2013,23/09/2012,17:00,FC Brasov,Vaslui,2,1,H,3.57,3.3,2.24,3.7,3.35,2.24,3.26,3.2,2.09
Extra,Romania,Liga 1,2012/2013,23/09/2012,19:30,Pandurii,CFR Cluj,2,1,H,2.62,3.32,2.88,2.62,3.32,3,2.41,3.15,2.73
Extra,Romania,Liga 1,2012/2013,24/09/2012,16:00,Viitorul Constanta,Poli Iasi,1,0,H,2.1,3.54,3.66,2.15,3.54,4,2,3.24,3.45
Extra,Romania,Liga 1,2012/2013,24/09/2012,18:30,FC Steaua Bucuresti,FC Rapid Bucuresti,1,0,H,1.84,3.48,5,1.95,3.6,5,1.85,3.31,3.95
Extra,Romania,Liga 1,2012/2013,29/09/2012,15:00,Gaz Metan Medias,U. Cluj,2,1,H,1.93,3.52,4.32,1.97,3.52,4.75,1.86,3.29,3.87
Extra,Romania,Liga 1,2012/2013,29/09/2012,17:00,CFR Cluj,Bistrita,5,1,H,1.37,4.93,10.15,1.37,5.2,12.25,1.3,4.68,8.89
Extra,Romania,Liga 1,2012/2013,29/09/2012,19:30,Vaslui,Concordia,3,0,H,1.42,4.74,8.75,1.42,5.29,11,1.33,4.54,7.93
Extra,Romania,Liga 1,2012/2013,30/09/2012,15:00,Otelul,FC Brasov,0,0,D,1.78,3.54,5.33,1.8,3.6,5.35,1.74,3.39,4.43
Extra,Romania,Liga 1,2012/2013,30/09/2012,17:00,FC Rapid Bucuresti,Viitorul Constanta,2,1,H,1.44,4.38,9.39,1.44,4.7,11,1.36,4.23,7.9
Extra,Romania,Liga 1,2012/2013,30/09/2012,17:00,Poli Iasi,CS Turnu Severin,1,0,H,2.2,3.32,3.65,2.25,3.32,3.8,2.13,3.16,3.21
Extra,Romania,Liga 1,2012/2013,30/09/2012,19:30,Petrolul,FC Steaua Bucuresti,1,2,A,2.87,3.36,2.61,2.88,3.4,2.61,2.7,3.15,2.44
Extra,Romania,Liga 1,2012/2013,01/10/2012,16:00,Ceahlaul,Astra,3,2,H,3.84,3.49,2.06,3.9,3.6,2.06,3.45,3.35,1.97
Extra,Romania,Liga 1,2012/2013,01/10/2012,18:30,Din. Bucuresti,Pandurii,3,0,H,2.04,3.47,3.95,2.06,3.53,4,2,3.28,3.4
Extra,Romania,Liga 1,2012/2013,05/10/2012,16:00,U. Cluj,Ceahlaul,1,0,H,2.29,3.43,3.3,2.29,3.47,3.8,2.11,3.26,3.17
Extra,Romania,Liga 1,2012/2013,05/10/2012,18:30,Astra,Vaslui,1,1,D,2.89,3.28,2.63,3,3.35,2.63,2.76,3.23,2.35
Extra,Romania,Liga 1,2012/2013,06/10/2012,15:00,Viitorul Constanta,Petrolul,1,2,A,3.45,3.32,2.27,3.7,3.35,2.37,3.23,3.17,2.12
Extra,Romania,Liga 1,2012/2013,06/10/2012,17:00,CS Turnu Severin,FC Rapid Bucuresti,0,1,A,4.2,3.5,1.98,4.2,3.5,2,3.64,3.3,1.93
Extra,Romania,Liga 1,2012/2013,06/10/2012,19:30,Gaz Metan Medias,Din. Bucuresti,2,2,D,3.67,3.18,2.25,3.67,3.25,2.25,3.22,3.1,2.15
Extra,Romania,Liga 1,2012/2013,07/10/2012,16:00,Bistrita,Pandurii,1,3,A,5.26,3.69,1.76,5.26,3.9,1.95,4.03,3.42,1.81
Extra,Romania,Liga 1,2012/2013,07/10/2012,18:30,FC Steaua Bucuresti,CFR Cluj,1,0,H,1.79,3.75,4.86,2,3.76,5,1.81,3.44,3.98
Extra,Romania,Liga 1,2012/2013,08/10/2012,17:00,FC Brasov,Poli Iasi,1,0,H,1.4,4.65,10.19,1.41,4.65,10.19,1.37,4.27,7.48
Extra,Romania,Liga 1,2012/2013,08/10/2012,19:30,Concordia,Otelul,0,0,D,3.31,3.35,2.33,3.32,3.35,2.46,2.98,3.14,2.26
Extra,Romania,Liga 1,2012/2013,18/10/2012,17:30,CFR Cluj,Viitorul Constanta,0,1,A,1.41,4.92,8.63,1.41,5.2,10.5,1.34,4.54,7.79
Extra,Romania,Liga 1,2012/2013,19/10/2012,17:00,Ceahlaul,Gaz Metan Medias,2,1,H,2.22,3.31,3.6,2.4,3.31,3.6,2.19,3.16,3.06
Extra,Romania,Liga 1,2012/2013,19/10/2012,19:30,Din. Bucuresti,Bistrita,1,2,A,1.23,6.55,15.75,1.26,6.55,15.75,1.22,5.57,10.8
Extra,Romania,Liga 1,2012/2013,19/10/2012,19:30,FC Rapid Bucuresti,FC Brasov,1,2,A,1.88,3.41,4.94,1.88,3.75,5.14,1.71,3.4,4.56
Extra,Romania,Liga 1,2012/2013,20/10/2012,17:00,Otelul,Astra,2,1,H,2.25,3.28,3.51,2.35,3.4,3.6,2.08,3.16,3.26
Extra,Romania,Liga 1,2012/2013,20/10/2012,19:30,Petrolul,CS Turnu Severin,1,0,H,1.33,5.03,11.05,1.33,5.3,15,1.28,4.65,9.35
Extra,Romania,Liga 1,2012/2013,21/10/2012,17:00,Vaslui,U. Cluj,1,0,H,1.27,5.9,13.82,1.3,5.9,14.05,1.25,5.11,10.04
Extra,Romania,Liga 1,2012/2013,21/10/2012,19:30,Pandurii,FC Steaua Bucuresti,0,0,D,4.51,3.22,2,4.51,3.45,2.02,3.69,3.21,1.95
Extra,Romania,Liga 1,2012/2013,22/10/2012,17:00,Poli Iasi,Concordia,0,1,A,2.95,3.18,2.63,3,3.2,3,2.73,3.07,2.48
Extra,Romania,Liga 1,2012/2013,22/10/2012,19:30,Din. Bucuresti,FC Rapid Bucuresti,2,1,H,2.73,3.07,2.95,2.73,3.25,3.05,2.46,3.05,2.75
Extra,Romania,Liga 1,2012/2013,26/10/2012,17:00,U. Cluj,Otelul,1,1,D,2.95,3.21,2.64,3.01,3.25,2.68,2.74,3.06,2.45
Extra,Romania,Liga 1,2012/2013,26/10/2012,18:00,FC Brasov,Petrolul,0,1,A,2.94,3.16,2.67,2.94,3.3,3.1,2.48,3.09,2.69
Extra,Romania,Liga 1,2012/2013,26/10/2012,19:30,Astra,Poli Iasi,1,0,H,1.39,4.75,10.02,1.39,5,10.5,1.32,4.53,8.72
Extra,Romania,Liga 1,2012/2013,27/10/2012,17:00,CS Turnu Severin,CFR Cluj,1,3,A,4.67,3.54,1.87,5.5,3.7,1.87,4.47,3.42,1.73
Extra,Romania,Liga 1,2012/2013,27/10/2012,18:00,Concordia,FC Rapid Bucuresti,0,0,D,4.09,3.25,2.08,4.5,3.35,2.2,3.45,3.17,2.03
Extra,Romania,Liga 1,2012/2013,27/10/2012,19:30,Ceahlaul,Din. Bucuresti,0,0,D,4.95,3.72,1.79,5,3.8,1.83,4.29,3.5,1.73
Extra,Romania,Liga 1,2012/2013,28/10/2012,17:00,Gaz Metan Medias,Vaslui,1,0,H,4.09,3.36,2.04,4.15,3.45,2.04,3.75,3.21,1.92
Extra,Romania,Liga 1,2012/2013,28/10/2012,19:30,FC Steaua Bucuresti,Bistrita,4,0,H,1.14,8.11,26.85,1.17,8.5,26.85,1.13,6.46,17.7
Extra,Romania,Liga 1,2012/2013,29/10/2012,19:30,Viitorul Constanta,Pandurii,2,0,H,3.34,3.1,2.43,3.51,3.3,2.44,3.09,3.13,2.22
Extra,Romania,Liga 1,2012/2013,02/11/2012,17:00,Bistrita,Viitorul Constanta,1,1,D,3.01,3.27,2.54,3.01,3.3,2.8,2.7,3.13,2.46
Extra,Romania,Liga 1,2012/2013,02/11/2012,19:30,Poli Iasi,U. Cluj,4,0,H,2.72,3.09,2.95,2.72,3.25,2.95,2.5,3.07,2.7
Extra,Romania,Liga 1,2012/2013,03/11/2012,17:30,CFR Cluj,FC Brasov,5,0,H,1.53,4.16,7.4,1.57,4.16,7.4,1.5,3.8,6.01
Extra,Romania,Liga 1,2012/2013,03/11/2012,19:30,Vaslui,Ceahlaul,4,3,H,1.36,4.84,11.5,1.37,5.3,11.5,1.3,4.73,8.75
Extra,Romania,Liga 1,2012/2013,04/11/2012,17:00,Otelul,Gaz Metan Medias,2,0,H,1.72,3.62,5.76,1.85,3.7,5.76,1.74,3.36,4.47
Extra,Romania,Liga 1,2012/2013,04/11/2012,19:30,FC Steaua Bucuresti,Din. Bucuresti,3,1,H,1.6,4.04,6.3,1.6,4.05,6.4,1.53,3.73,5.59
Extra,Romania,Liga 1,2012/2013,05/11/2012,17:00,Pandurii,CS Turnu Severin,2,2,D,1.31,5.36,11.9,1.31,6,13,1.25,5.16,9.75
Extra,Romania,Liga 1,2012/2013,05/11/2012,18:00,Petrolul,Concordia,0,0,D,1.4,4.74,9.09,1.42,5.2,9.09,1.35,4.54,7.37
Extra,Romania,Liga 1,2012/2013,05/11/2012,19:30,FC Rapid Bucuresti,Astra,0,2,A,2.02,3.52,3.95,2.06,3.52,3.96,1.98,3.23,3.51
Extra,Romania,Liga 1,2012/2013,09/11/2012,17:00,CS Turnu Severin,Bistrita,1,0,H,1.93,3.88,3.95,2.1,3.88,3.95,1.93,3.34,3.57
Extra,Romania,Liga 1,2012/2013,09/11/2012,19:30,Gaz Metan Medias,Poli Iasi,0,1,A,1.64,3.88,6.14,1.64,3.9,7,1.55,3.65,5.67
Extra,Romania,Liga 1,2012/2013,10/11/2012,14:00,Ceahlaul,Otelul,4,1,H,2.86,3.11,2.8,2.86,3.25,2.8,2.58,3.02,2.62
Extra,Romania,Liga 1,2012/2013,10/11/2012,17:00,Astra,Petrolul,1,1,D,2.56,3.2,3.06,2.6,3.25,3.1,2.44,3.14,2.69
Extra,Romania,Liga 1,2012/2013,10/11/2012,19:30,Din. Bucuresti,Vaslui,0,1,A,2.64,3.12,3,2.64,3.25,3,2.47,3.12,2.67
Extra,Romania,Liga 1,2012/2013,11/11/2012,17:00,Concordia,CFR Cluj,1,2,A,4.94,3.72,1.79,4.94,3.72,1.91,4.03,3.36,1.81
Extra,Romania,Liga 1,2012/2013,11/11/2012,17:30,FC Brasov,Pandurii,0,1,A,2.49,3.25,3.11,2.6,3.25,3.11,2.43,3.07,2.77
Extra,Romania,Liga 1,2012/2013,11/11/2012,19:30,Viitorul Constanta,FC Steaua Bucuresti,0,4,A,6.79,3.74,1.62,7,3.75,1.65,5.68,3.55,1.57
Extra,Romania,Liga 1,2012/2013,12/11/2012,18:30,U. Cluj,FC Rapid Bucuresti,1,2,A,3.77,3.28,2.18,3.77,3.4,2.2,3.29,3.18,2.09
Extra,Romania,Liga 1,2012/2013,16/11/2012,17:00,CFR Cluj,Astra,0,2,A,1.85,3.85,4.45,1.85,3.85,5.09,1.73,3.52,4.31
Extra,Romania,Liga 1,2012/2013,16/11/2012,19:30,Bistrita,FC Brasov,1,1,D,3.22,3.29,2.43,3.34,3.29,2.43,3.08,3.13,2.21
Extra,Romania,Liga 1,2012/2013,16/11/2012,19:30,Petrolul,U. Cluj,2,0,H,1.35,5.08,11.32,1.36,5.33,11.32,1.31,4.66,8.69
Extra,Romania,Liga 1,2012/2013,17/11/2012,17:00,Poli Iasi,Ceahlaul,1,0,H,2.38,3.29,3.27,2.4,3.35,3.3,2.28,3.17,2.92
Extra,Romania,Liga 1,2012/2013,17/11/2012,19:30,Viitorul Constanta,Din. Bucuresti,1,1,D,3.76,3.43,2.11,4,3.45,2.12,3.59,3.23,1.97
Extra,Romania,Liga 1,2012/2013,18/11/2012,18:30,FC Steaua Bucuresti,CS Turnu Severin,2,1,H,1.12,8.55,28,1.14,9.55,28.9,1.11,7.51,16.16
Extra,Romania,Liga 1,2012/2013,19/11/2012,17:00,Pandurii,Concordia,2,1,H,1.44,4.45,8.91,1.44,4.46,8.94,1.39,4.12,7.34
Extra,Romania,Liga 1,2012/2013,19/11/2012,18:00,Otelul,Vaslui,2,0,H,3.49,3.23,2.34,3.55,3.25,2.38,3.07,3.1,2.23
Extra,Romania,Liga 1,2012/2013,19/11/2012,19:30,FC Rapid Bucuresti,Gaz Metan Medias,2,1,H,1.65,3.86,6.06,1.69,3.86,6.3,1.61,3.56,5.17
Extra,Romania,Liga 1,2012/2013,23/11/2012,16:00,Gaz Metan Medias,Petrolul,2,0,H,3.37,3.35,2.29,3.4,3.38,2.31,3.04,3.22,2.19
Extra,Romania,Liga 1,2012/2013,23/11/2012,17:00,Concordia,Bistrita,2,1,H,1.89,3.55,4.55,2,3.6,4.55,1.83,3.3,4.03
Extra,Romania,Liga 1,2012/2013,23/11/2012,18:30,Din. Bucuresti,Otelul,2,1,H,1.66,3.88,5.85,1.73,4,5.85,1.64,3.53,4.89
Extra,Romania,Liga 1,2012/2013,24/11/2012,16:00,U. Cluj,CFR Cluj,1,2,A,4.19,3.7,1.91,4.9,3.8,1.94,4.12,3.5,1.76
Extra,Romania,Liga 1,2012/2013,24/11/2012,18:30,Ceahlaul,FC Rapid Bucuresti,0,0,D,3.09,3.17,2.54,3.1,3.25,2.54,2.82,3.1,2.37
Extra,Romania,Liga 1,2012/2013,25/11/2012,18:30,Astra,Pandurii,4,1,H,2.27,3.36,3.43,2.4,3.37,3.43,2.24,3.19,2.96
Extra,Romania,Liga 1,2012/2013,26/11/2012,16:00,CS Turnu Severin,Viitorul Constanta,2,2,D,2.63,3.53,2.72,2.76,3.53,2.85,2.56,3.14,2.57
Extra,Romania,Liga 1,2012/2013,26/11/2012,17:00,Vaslui,Poli Iasi,3,0,H,1.47,4.45,8,1.47,4.65,9,1.38,4.28,7.21
Extra,Romania,Liga 1,2012/2013,26/11/2012,18:30,FC Brasov,FC Steaua Bucuresti,3,1,H,5.97,3.72,1.68,6.14,3.9,1.74,4.96,3.47,1.65
Extra,Romania,Liga 1,2012/2013,30/11/2012,16:00,U. Cluj,Pandurii,1,1,D,5.73,3.78,1.7,5.73,3.78,1.73,4.74,3.5,1.65
Extra,Romania,Liga 1,2012/2013,30/11/2012,18:00,Concordia,FC Steaua Bucuresti,0,6,A,8.35,4.41,1.47,8.35,4.41,1.55,6.32,3.85,1.47
Extra,Romania,Liga 1,2012/2013,01/12/2012,16:00,FC Brasov,Viitorul Constanta,3,1,H,1.94,3.53,4.32,2,3.6,4.5,1.9,3.29,3.73
